// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 0080001528
//  ProductCode: MTi-670-8A1G6
//  Firmware Version: 1.0.0
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General(21.3)
//  Option Flags: Orientation Smoother Enabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Enabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
00173,1397363,-0.043755,0.172577,9.821679,-0.003496,0.002188,0.002193,-0.245210,-0.190100,-1.331101
00174,1398363,-0.030604,0.171966,9.809017,-0.000225,0.000643,0.001747,-0.250523,-0.193246,-1.329813
00175,1399363,-0.039193,0.171654,9.822084,-0.002272,-0.000085,0.002589,-0.247342,-0.190938,-1.337941
00176,1400363,-0.033482,0.170957,9.830070,-0.000539,-0.001587,0.002273,-0.248705,-0.192607,-1.334315
00177,1401363,-0.018771,0.160561,9.823253,-0.002532,-0.000586,0.004034,-0.249402,-0.191578,-1.334882
00178,1402363,-0.033278,0.161104,9.795833,0.000187,0.002734,0.000568,-0.245475,-0.195889,-1.335302
00179,1403363,-0.028113,0.173441,9.807062,-0.000373,0.001166,0.002671,-0.250353,-0.193444,-1.338270
00180,1404363,-0.047370,0.182749,9.828021,-0.003849,0.001758,-0.000684,-0.245584,-0.191197,-1.340083
00181,1405363,-0.049128,0.160128,9.802652,-0.001694,-0.002331,0.000552,-0.244936,-0.190231,-1.335777
00182,1406363,-0.048003,0.181790,9.816718,-0.001159,0.000409,0.002087,-0.245898,-0.194992,-1.340545
00183,1407363,-0.030067,0.174208,9.807970,-0.004064,-0.000817,0.002979,-0.243254,-0.189526,-1.337940
00184,1408363,-0.054042,0.188154,9.815577,-0.005093,0.000694,0.000686,-0.243013,-0.189525,-1.336498
00185,1409363,-0.033018,0.158587,9.832501,-0.000393,0.001886,0.003826,-0.239876,-0.189980,-1.339886
00186,1410363,-0.045339,0.171856,9.802865,0.001121,0.003570,0.000779,-0.241968,-0.186893,-1.341588
00187,1411363,-0.019421,0.174843,9.821894,-0.002486,0.003494,0.002181,-0.243343,-0.191456,-1.339341
00188,1412363,-0.034112,0.164871,9.802105,-0.003698,-0.003080,0.003359,-0.240585,-0.191845,-1.341833
00189,1413363,-0.044985,0.161302,9.817982,-0.001445,-0.001177,0.000074,-0.236750,-0.193329,-1.344654
00190,1414363,-0.046092,0.172611,9.812285,-0.004052,0.000275,0.002179,-0.248214,-0.163380,-1.396322
00191,1415363,-0.044076,0.162878,9.806013,-0.001371,0.003632,0.002884,-0.237772,-0.186577,-1.347685
00192,1416363,-0.057278,0.161033,9.817291,-0.000788,-0.003400,0.004537,-0.241854,-0.192747,-1.346684
00193,1417363,-0.034365,0.178371,9.820654,-0.004463,-0.000560,0.002808,-0.242210,-0.183297,-1.353908
00194,1418363,-0.031372,0.168069,9.810378,-0.002602,0.003768,0.001562,-0.240073,-0.187218,-1.346068
00195,1419363,-0.047444,0.181345,9.819533,-0.004715,0.000020,0.003067,-0.237409,-0.184778,-1.350961
00196,1420363,-0.027360,0.161362,9.800794,-0.002922,-0.000349,0.003693,-0.243449,-0.161942,-1.345366
